id,seg,img
CA_001,./assets/Coronary_data/seg/CA_001.nii.gz,./assets/Coronary_data/img/CA_001.nii.gz
CA_002,./assets/Coronary_data/seg/CA_002.nii.gz,./assets/Coronary_data/img/CA_002.nii.gz
CA_004,./assets/Coronary_data/seg/CA_004.nii.gz,./assets/Coronary_data/img/CA_004.nii.gz
CA_006,./assets/Coronary_data/seg/CA_006.nii.gz,./assets/Coronary_data/img/CA_006.nii.gz
CA_008,./assets/Coronary_data/seg/CA_008.nii.gz,./assets/Coronary_data/img/CA_008.nii.gz
CA_009,./assets/Coronary_data/seg/CA_009.nii.gz,./assets/Coronary_data/img/CA_009.nii.gz
CA_012,./assets/Coronary_data/seg/CA_012.nii.gz,./assets/Coronary_data/img/CA_012.nii.gz
CA_013,./assets/Coronary_data/seg/CA_013.nii.gz,./assets/Coronary_data/img/CA_013.nii.gz
CA_014,./assets/Coronary_data/seg/CA_014.nii.gz,./assets/Coronary_data/img/CA_014.nii.gz
CA_016,./assets/Coronary_data/seg/CA_016.nii.gz,./assets/Coronary_data/img/CA_016.nii.gz
CA_017,./assets/Coronary_data/seg/CA_017.nii.gz,./assets/Coronary_data/img/CA_017.nii.gz
CA_018,./assets/Coronary_data/seg/CA_018.nii.gz,./assets/Coronary_data/img/CA_018.nii.gz
CA_019,./assets/Coronary_data/seg/CA_019.nii.gz,./assets/Coronary_data/img/CA_019.nii.gz
CA_020,./assets/Coronary_data/seg/CA_020.nii.gz,./assets/Coronary_data/img/CA_020.nii.gz
CA_021,./assets/Coronary_data/seg/CA_021.nii.gz,./assets/Coronary_data/img/CA_021.nii.gz
CA_024,./assets/Coronary_data/seg/CA_024.nii.gz,./assets/Coronary_data/img/CA_024.nii.gz
CA_025,./assets/Coronary_data/seg/CA_025.nii.gz,./assets/Coronary_data/img/CA_025.nii.gz
CA_026,./assets/Coronary_data/seg/CA_026.nii.gz,./assets/Coronary_data/img/CA_026.nii.gz
CA_027,./assets/Coronary_data/seg/CA_027.nii.gz,./assets/Coronary_data/img/CA_027.nii.gz
CA_028,./assets/Coronary_data/seg/CA_028.nii.gz,./assets/Coronary_data/img/CA_028.nii.gz
CA_029,./assets/Coronary_data/seg/CA_029.nii.gz,./assets/Coronary_data/img/CA_029.nii.gz
CA_030,./assets/Coronary_data/seg/CA_030.nii.gz,./assets/Coronary_data/img/CA_030.nii.gz
CA_032,./assets/Coronary_data/seg/CA_032.nii.gz,./assets/Coronary_data/img/CA_032.nii.gz
CA_033,./assets/Coronary_data/seg/CA_033.nii.gz,./assets/Coronary_data/img/CA_033.nii.gz
CA_035,./assets/Coronary_data/seg/CA_035.nii.gz,./assets/Coronary_data/img/CA_035.nii.gz
CA_036,./assets/Coronary_data/seg/CA_036.nii.gz,./assets/Coronary_data/img/CA_036.nii.gz
CA_038,./assets/Coronary_data/seg/CA_038.nii.gz,./assets/Coronary_data/img/CA_038.nii.gz
CA_039,./assets/Coronary_data/seg/CA_039.nii.gz,./assets/Coronary_data/img/CA_039.nii.gz
CA_040,./assets/Coronary_data/seg/CA_040.nii.gz,./assets/Coronary_data/img/CA_040.nii.gz
CA_041,./assets/Coronary_data/seg/CA_041.nii.gz,./assets/Coronary_data/img/CA_041.nii.gz
CA_042,./assets/Coronary_data/seg/CA_042.nii.gz,./assets/Coronary_data/img/CA_042.nii.gz
CA_045,./assets/Coronary_data/seg/CA_045.nii.gz,./assets/Coronary_data/img/CA_045.nii.gz
CA_047,./assets/Coronary_data/seg/CA_047.nii.gz,./assets/Coronary_data/img/CA_047.nii.gz
CA_048,./assets/Coronary_data/seg/CA_048.nii.gz,./assets/Coronary_data/img/CA_048.nii.gz
CA_050,./assets/Coronary_data/seg/CA_050.nii.gz,./assets/Coronary_data/img/CA_050.nii.gz
CA_051,./assets/Coronary_data/seg/CA_051.nii.gz,./assets/Coronary_data/img/CA_051.nii.gz
CA_053,./assets/Coronary_data/seg/CA_053.nii.gz,./assets/Coronary_data/img/CA_053.nii.gz
